b'[FWA, OH1, Fort Wayne, IN, Washington Court House, OH, 0, 0, 1, 135, 2003-09-01, 398574, 28133, 40.97850037, -85.19509888, NA, NA]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 309, 1045, 55, 119, 2008-03-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 421, 1615, 85, 119, 2008-04-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 95, 893, 47, 119, 2008-12-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 519, 1425, 75, 119, 2008-08-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 438, 1615, 85, 119, 2008-05-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 244, 798, 42, 119, 2008-02-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 505, 1558, 82, 119, 2008-06-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 290, 969, 51, 119, 2008-11-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 488, 1501, 79, 119, 2008-07-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 246, 988, 52, 119, 2008-01-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 483, 1425, 75, 119, 2008-09-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[MWA, TBN, Marion, IL, Fort Leonard Wood, MO, 3, 19, 1, 171, 2007-12-01, 64248, 44402, 37.75500107, -89.01110077, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 577, 1159, 61, 119, 2007-02-01, 2806368, 44402, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 694, 1254, 66, 119, 2007-01-01, 2806368, 44402, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 222, 1026, 54, 119, 2007-11-01, 2806368, 44402, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 176, 836, 44, 119, 2007-10-01, 2806368, 44402, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 120, 722, 38, 119, 2007-12-01, 2806368, 44402, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 862, 1539, 81, 119, 2006-05-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 786, 1425, 75, 119, 2006-08-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 660, 1311, 69, 119, 2006-02-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 467, 950, 50, 119, 2006-12-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 816, 1444, 76, 119, 2006-10-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 772, 1387, 73, 119, 2006-06-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 828, 1425, 75, 119, 2006-09-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 735, 1368, 72, 119, 2006-07-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 664, 1349, 71, 119, 2006-04-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 816, 1330, 70, 119, 2006-11-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
